Venue Name,Venue Address,Day,Hour,Busyness
The Old Kings Head,"King's Head Yard, London SE1 1NA, United Kingdom",Monday,6,Closed
The Old Kings Head,"King's Head Yard, London SE1 1NA, United Kingdom",Monday,7,Closed
The Old Kings Head,"King's Head Yard, London SE1 1NA, United Kingdom",Monday,8,Closed
The Old Kings Head,"King's Head Yard, London SE1 1NA, United Kingdom",Monday,9,Closed
The Old Kings Head,"King's Head Yard, London SE1 1NA, United Kingdom",Monday,10,Low
The Old Kings Head,"King's Head Yard, London SE1 1NA, United Kingdom",Monday,11,Low
The Old Kings Head,"King's Head Yard, London SE1 1NA, United Kingdom",Monday,12,Below average
The Old Kings Head,"King's Head Yard, London SE1 1NA, United Kingdom",Monday,13,Below average
The Old Kings Head,"King's Head Yard, London SE1 1NA, United Kingdom",Monday,14,Below average
The Old Kings Head,"King's Head Yard, London SE1 1NA, United Kingdom",Monday,15,Average
The Old Kings Head,"King's Head Yard, London SE1 1NA, United Kingdom",Monday,16,Average
The Old Kings Head,"King's Head Yard, London SE1 1NA, United Kingdom",Monday,17,Average
The Old Kings Head,"King's Head Yard, London SE1 1NA, United Kingdom",Monday,18,Average
The Old Kings Head,"King's Head Yard, London SE1 1NA, United Kingdom",Monday,19,Average
The Old Kings Head,"King's Head Yard, London SE1 1NA, United Kingdom",Monday,20,Below average
The Old Kings Head,"King's Head Yard, London SE1 1NA, United Kingdom",Monday,21,Low
The Old Kings Head,"King's Head Yard, London SE1 1NA, United Kingdom",Monday,22,Low
The Old Kings Head,"King's Head Yard, London SE1 1NA, United Kingdom",Monday,23,Low
The Old Kings Head,"King's Head Yard, London SE1 1NA, United Kingdom",Monday,0,Closed
The Old Kings Head,"King's Head Yard, London SE1 1NA, United Kingdom",Monday,1,Closed
The Old Kings Head,"King's Head Yard, London SE1 1NA, United Kingdom",Monday,2,Closed
The Old Kings Head,"King's Head Yard, London SE1 1NA, United Kingdom",Monday,3,Closed
The Old Kings Head,"King's Head Yard, London SE1 1NA, United Kingdom",Monday,4,Closed
The Old Kings Head,"King's Head Yard, London SE1 1NA, United Kingdom",Monday,5,Closed
The Old Kings Head,"King's Head Yard, London SE1 1NA, United Kingdom",Tuesday,6,Closed
The Old Kings Head,"King's Head Yard, London SE1 1NA, United Kingdom",Tuesday,7,Closed
The Old Kings Head,"King's Head Yard, London SE1 1NA, United Kingdom",Tuesday,8,Closed
The Old Kings Head,"King's Head Yard, London SE1 1NA, United Kingdom",Tuesday,9,Closed
The Old Kings Head,"King's Head Yard, London SE1 1NA, United Kingdom",Tuesday,10,Low
The Old Kings Head,"King's Head Yard, London SE1 1NA, United Kingdom",Tuesday,11,Low
The Old Kings Head,"King's Head Yard, London SE1 1NA, United Kingdom",Tuesday,12,Below average
The Old Kings Head,"King's Head Yard, London SE1 1NA, United Kingdom",Tuesday,13,Below average
The Old Kings Head,"King's Head Yard, London SE1 1NA, United Kingdom",Tuesday,14,Average
The Old Kings Head,"King's Head Yard, London SE1 1NA, United Kingdom",Tuesday,15,Average
The Old Kings Head,"King's Head Yard, London SE1 1NA, United Kingdom",Tuesday,16,Average
The Old Kings Head,"King's Head Yard, London SE1 1NA, United Kingdom",Tuesday,17,Average
The Old Kings Head,"King's Head Yard, London SE1 1NA, United Kingdom",Tuesday,18,Above average
The Old Kings Head,"King's Head Yard, London SE1 1NA, United Kingdom",Tuesday,19,Above average
The Old Kings Head,"King's Head Yard, London SE1 1NA, United Kingdom",Tuesday,20,Average
The Old Kings Head,"King's Head Yard, London SE1 1NA, United Kingdom",Tuesday,21,Average
The Old Kings Head,"King's Head Yard, London SE1 1NA, United Kingdom",Tuesday,22,Average
The Old Kings Head,"King's Head Yard, London SE1 1NA, United Kingdom",Tuesday,23,Below average
The Old Kings Head,"King's Head Yard, London SE1 1NA, United Kingdom",Tuesday,0,Closed
The Old Kings Head,"King's Head Yard, London SE1 1NA, United Kingdom",Tuesday,1,Closed
The Old Kings Head,"King's Head Yard, London SE1 1NA, United Kingdom",Tuesday,2,Closed
The Old Kings Head,"King's Head Yard, London SE1 1NA, United Kingdom",Tuesday,3,Closed
The Old Kings Head,"King's Head Yard, London SE1 1NA, United Kingdom",Tuesday,4,Closed
The Old Kings Head,"King's Head Yard, London SE1 1NA, United Kingdom",Tuesday,5,Closed
The Old Kings Head,"King's Head Yard, London SE1 1NA, United Kingdom",Wednesday,6,Closed
The Old Kings Head,"King's Head Yard, London SE1 1NA, United Kingdom",Wednesday,7,Closed
